files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.94  T=4.12 s (833.9 files/s 176828.5 lines/s)"
2326,Java,42292,139861,261180
97,C,12421,38193,64566
289,Groovy,6524,9504,46269
254,XML,2194,5774,21781
49,Bourne Shell,1882,4002,15556
171,Python,1394,5043,7369
76,C/C++ Header,2010,9618,5214
44,Perl,804,2997,4557
4,Web Services Description,503,297,2961
14,JSON,0,0,2578
12,Text,52,0,1857
17,make,317,960,977
1,CSS,196,49,941
45,Ant,421,1498,672
3,m4,59,1,550
6,Bourne Again Shell,95,183,398
1,XSLT,25,70,323
5,HTML,52,142,165
6,INI,2,0,90
2,YAML,1,0,86
1,XSD,21,50,67
2,diff,32,86,41
5,CSV,2,0,17
3,Properties,3,76,16
3433,SUM,71302,218404,438231
