files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.94  T=2.25 s (888.6 files/s 186915.6 lines/s)"
1219,Java,20497,78890,123796
58,C,5758,6471,35049
41,JavaScript,4511,5725,28563
41,Bourne Shell,1811,3568,15021
199,XML,2720,8391,12099
80,Groovy,1440,3657,9714
116,Python,1141,3535,6330
69,HTML,1662,230,5440
45,Perl,797,3064,4858
9,Properties,685,386,4128
12,CSS,908,709,3406
42,C/C++ Header,489,2746,2728
3,Web Services Description,421,191,2427
9,JSON,0,0,1576
12,make,220,672,678
3,m4,57,1,503
21,Ant,262,1032,444
5,SVG,0,0,330
1,XSLT,23,69,279
2,Bourne Again Shell,51,160,187
4,INI,21,0,101
2,Text,19,0,84
1,XSD,22,50,67
1,Markdown,25,0,63
2,diff,32,86,41
5,CSV,2,0,17
2002,SUM,43574,119633,257929
