files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.94  T=0.70 s (1063.3 files/s 203947.0 lines/s)"
469,Java,7477,27525,44375
37,C,3122,2569,15087
23,Bourne Shell,1479,1229,10928
90,XML,451,4647,5029
25,Groovy,768,1219,4548
3,Web Services Description,237,42,1443
20,C/C++ Header,414,1027,1148
12,Maven,17,745,1005
13,Perl,161,840,977
3,CSS,116,14,587
12,make,166,83,487
17,Ant,36,1079,352
3,Bourne Again Shell,25,139,243
1,m4,31,1,221
3,diff,29,105,187
1,XSD,12,0,67
4,Properties,33,24,57
2,Drools,4,0,21
3,INI,0,0,20
1,HTML,2,33,11
2,JavaScript,2,6,6
744,SUM,14582,41327,86799
