files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.94  T=0.95 s (1129.7 files/s 186129.8 lines/s)"
717,Java,9843,29371,65580
49,C,4141,2860,21063
27,Bourne Shell,1179,1179,7946
92,XML,416,4527,6392
45,Groovy,920,1279,5501
3,Web Services Description,282,38,1746
33,C/C++ Header,522,1087,1686
18,Perl,328,855,1559
4,CSS,265,15,1350
35,Python,235,2,1062
12,make,165,81,515
19,Ant,42,1176,425
1,m4,31,1,232
4,Bourne Again Shell,56,163,217
1,Text,6,0,138
1,XSD,12,0,67
4,Properties,33,24,57
3,INI,0,0,20
1,HTML,2,33,12
2,diff,8,20,11
2,JavaScript,2,6,6
1073,SUM,18488,42717,115585
