files,language,blank,comment,code,"github.com/AlDanial/cloc v 1.94  T=5.02 s (652.3 files/s 138675.9 lines/s)"
2237,Java,41861,139440,258563
86,C,11312,30256,57908
278,Groovy,6125,9496,43461
254,XML,2206,5904,19502
48,Bourne Shell,1879,4002,15537
148,Python,1156,4585,6343
69,C/C++ Header,1725,8136,4703
44,Perl,800,2995,4545
4,Web Services Description,503,297,2957
10,Text,42,0,1758
16,make,311,932,949
1,CSS,196,49,941
46,Ant,433,1548,676
3,m4,59,1,550
5,Bourne Again Shell,88,153,359
1,XSLT,25,70,323
5,HTML,52,142,165
4,JSON,0,0,106
2,YAML,1,0,86
5,INI,0,0,78
1,XSD,21,50,67
2,diff,32,86,41
5,CSV,2,0,17
3,Properties,3,76,16
3277,SUM,68832,208218,419651
